CODICE_VIA;STATO;TIPO;DENOMINAZIONE;DATA_INTITOLAZIONE;ANNO_SOPPRESSIONE;DESCRITTIVO;ANNCSU;OPENSTREETMAP;PROGANNCSU;TOPONIMO_OSM;RATIO
1777;2;27;PROTTI ALDO;20080923;0;ALDO PROTTI;ALDO PROTTI;ALDO PROTTI;;;100
1778;2;1;MORLOTTI ENNIO;20090512;0;ENNIO MORLOTTI;ENNIO MORLOTTI;ENNIO MORLOTTI;;Via Ennio Morlotti;100
1779;2;27;GASTALDI DON GIAN PAOLO;20100912;0;DON GIAN PAOLO GASTALDI;DON GIAN PAOLO GASTALDI; ;;;100
1780;2;3;SAFRA EDMOND JACOB;20121112;0;EDMOND JACOB SAFRA;EDMOND JACOB SAFRA;EDMOND JACOB SAFRA;;;100
1781;2;1;ANSALDO GIOVANNI;20120731;0;GIOVANNI ANSALDO;GIOVANNI ANSALDO;GIOVANNI ANSALDO;;Via Giovanni Ansaldo;100
1782;2;3;CITTA' DI LOMBARDIA;20110214;0;CITTA' DI LOMBARDIA;CITTA' DI LOMBARDIA; ;;Piazza Città di Lombardia;96
1783;2;1;CAPELLI VINCENZO;20121201;0;VINCENZO CAPELLI;VINCENZO CAPELLI;VINCENZO CAPELLI;;;96
1784;2;20;SAVARINO NICOLO';20130121;0;NICOLO' SAVARINO;NICOLO' SAVARINO;NICOLO' SAVARINO;;;96
1785;2;3;AULENTI GAE;20130320;0;GAE AULENTI;GAE AULENTI;GAE AULENTI;;Piazza Gae Aulenti;100
1786;2;27;POLITKOVSKAJA ANNA STEPANOVNA;20130612;;ANNA STEPANOVNA POLITKOVSKAJA;ANNA STEPANOVNA POLITKOVSKAJA;ANNA STEPANOVNA POLITKOVSKAJA;;;100
1787;2;27;TORREGIANI PIERLUIGI;20130615;;PIERLUIGI TORREGIANI;PIERLUIGI TORREGIANI; ;;;100
1788;2;1;CASTIGLIONI (F.LLI);20140317;;FRATELLI CASTIGLIONI;FRATELLI CASTIGLIONI;FRATELLI CASTIGLIONI;;Via Fratelli Castiglioni;100
1789;2;9;MORTIROLO;20140324;;MORTIROLO;MORTIROLO;MORTIROLO;;Sottopasso Mortirolo;100
1791;2;3;AALTO ALVAR;20141209;;ALVAR AALTO;ALVAR AALTO;ALVAR AALTO;;Piazza Alvar Aalto;100
1792;2;1;COLOMBO JOE;20141209;;JOE COLOMBO;JOE COLOMBO;JOE COLOMBO;;Via Joe Colombo;100
1793;2;3;BO BARDI LINA;20141209;;LINA BO BARDI;LINA BO BARDI;LINA BO BARDI;;Piazza Lina Bo Bardi;100
1794;2;1;BONGIORNO MIKE;20151021;;MIKE BONGIORNO;MIKE BONGIORNO;MIKE BONGIORNO;;Via Mike Bongiorno;100
1795;2;12;VERONELLI LUIGI;20151130;;LUIGI VERONELLI;LUIGI VERONELLI;PASSEGGIATA LUIGI VERONELLI;;Passeggiata Luigi Veronelli;100
1796;2;4;CONVITTO FANCIULLI GRACILI E ORFANI DI GUERRA - PRINCIPESSA PIEMONTE;20160121;;CONVITTO FANCIULLI GRACILI E ORFANI DI GUERRA;CONVITTO FANCIULLI GRACILI E ORFANI DI GUERRA;CONVITTO FANCIULLI GRACILI E ORFANI DI GUERRA PRINCIPESSA PIEMONTE;;;100
1797;2;18;PERON MARIA - MOSNA SUOR GIOVANNA;20160525;;MARIA PERON E SUOR GIOVANNA MOSNA; ; ;;;100
1798;2;3;BRAMBILLA FRANCO;20160526;;FRANCO BRAMBILLA;FRANCO BRAMBILLA;FRANCO BRAMBILLA;;;100
1799;2;1;ORVIETO LAURA;20160516;;LAURA ORVIETO;LAURA ORVIETO;LAURA ORVIETO;;Via Laura Orvieto;100
1800;2;12;PASTERNAK BORIS;20171026;;PATERNAK; ;BORIS PASTERNAK;;;100
1801;2;4;ALERAMO SIBILLA;20171026;;ALERAMO SIBILLA; ;SIBILLA ALERAMO;;;100
1802;2;27;MALGERI ALFREDO;20180504;;ALFREDO MALGERI; ; ;;;100
2080;2;1;CARLI GUIDO;20051114;0;GUIDO CARLI;GUIDO CARLI;GUIDO CARLI;;Via Guido Carli;100
2081;2;18;RAMELLI SERGIO;20050330;0;SERGIO RAMELLI;SERGIO RAMELLI;SERGIO RAMELLI;;;100
2083;2;1;MALVESTITI PIERO;0;0;PIERO MALVESTITI;PIERO MALVESTITI;PIERO MALVESTITI;;Via Piero Malvestiti;100
2084;2;1;MONTE LUNGO;0;0;MONTE LUNGO;MONTE LUNGO;MONTE LUNGO;;Via privata Monte Lungo;85
2085;2;1;TREVES EMILIO;0;0;EMILIO TREVES;EMILIO TREVES;EMILIO TREVES;;Via Emilio Treves;100
2086;2;1;D'ARAGONA LUDOVICO;19000101;;LUDOVICO D'ARAGONA;LUDOVICO D'ARAGONA;LUDOVICO D'ARAGONA;;Via Ludovico d'Aragona;100
2087;2;1;ROMITA GIUSEPPE;0;0;GIUSEPPE ROMITA;GIUSEPPE ROMITA;GIUSEPPE ROMITA;;Via Giuseppe Romita;100
2088;2;1;MAZZALI GUIDO;0;0;GUIDO MAZZALI;GUIDO MAZZALI;GUIDO MAZZALI;;Via Guido Mazzali;100
2089;2;1;RUGGERI RUGGERO;0;0;RUGGERO RUGGERI;RUGGERO RUGGERI;RUGGERO RUGGERI;;Via Ruggero Ruggeri;100
2090;2;1;MORETTI MARCELLO;0;0;MARCELLO MORETTI;MARCELLO MORETTI;MARCELLO MORETTI;;Via privata Marcello Moretti;95
2091;2;7;MORANDI RODOLFO;0;0;RODOLFO MORANDI;RODOLFO MORANDI;RODOLFO MORANDI;;Piazzale Rodolfo Morandi;100
2092;2;1;DENTI FRANCESCO;0;0;FRANCESCO DENTI;FRANCESCO DENTI;FRANCESCO DENTI;;Via Francesco Denti;100
2093;2;3;GIOLITTI GIOVANNI;0;0;GIOVANNI GIOLITTI;GIOVANNI GIOLITTI;GIOVANNI GIOLITTI;;Piazza Giovanni Giolitti;100
2094;2;1;LUZZATTI LUIGI;0;0;LUIGI LUZZATTI;LUIGI LUZZATTI;LUIGI LUZZATTI;;Via Luigi Luzzatti;100
2095;2;1;AMEDEO D'AOSTA;0;0;AMEDEO D'AOSTA;AMEDEO D'AOSTA;AMEDEO D'AOSTA;;Via Amedeo d'Aosta;100
2096;2;1;LEPETIT ROBERTO;0;0;ROBERTO LEPETIT;ROBERTO LEPETIT;ROBERTO LEPETIT;;Via Roberto Lepetit;100
2097;2;1;SECCHI ANGELO;0;0;ANGELO SECCHI;ANGELO SECCHI;ANGELO SECCHI;;Via Angelo Secchi;100
2098;2;1;RONCIGLIONE;0;0;RONCIGLIONE;RONCIGLIONE;RONCIGLIONE;;Via Ronciglione;100
2099;2;1;CRESCENZIO;0;0;CRESCENZIO;CRESCENZIO;CRESCENZIO;;Via Crescenzio;100
2100;2;7;BACONE FRANCESCO;0;0;BACONE;BACONE;FRANCESCO BACONE;;Piazzale Francesco Bacone;85
2101;2;1;VECCHIO POLITECNICO (DEL);0;0;DEL VECCHIO POLITECNICO;DEL VECCHIO POLITECNICO;DEL VECCHIO POLITECNICO;;Via del Vecchio Politecnico;100
2102;2;1;PALESTRO;0;0;PALESTRO;PALESTRO;PALESTRO;;Via Palestro;100
2103;2;1;MARINA;0;0;MARINA;MARINA;MARINA;;Via Marina;100
2104;2;1;BOSCHETTI;0;0;BOSCHETTI;BOSCHETTI;BOSCHETTI;;Via Boschetti;100
2105;2;1;PRIMO (SAN);0;0;SAN PRIMO;SAN PRIMO;SAN PRIMO;;Via San Primo;100
2106;2;14;PORTA VENEZIA (DI);0;0;DI PORTA VENEZIA;DI PORTA VENEZIA;DI PORTA VENEZIA;;Bastioni di Porta Venezia;100
2107;2;2;VITTORIO VENETO;0;0;VITTORIO VENETO;VITTORIO VENETO;VITTORIO VENETO;;Viale Vittorio Veneto;100
2108;2;3;OBERDAN GUGLIELMO;0;0;GUGLIELMO OBERDAN;GUGLIELMO OBERDAN;GUGLIELMO OBERDAN;;Piazza Guglielmo Oberdan;100
2109;2;1;TADINO ALESSANDRO;0;0;ALESSANDRO TADINO;ALESSANDRO TADINO;ALESSANDRO TADINO;;Via Alessandro Tadino;100
2110;2;1;LECCO;0;0;LECCO;LECCO;LECCO;;Via Lecco;100
